3726,0,301Redirect,0,/Mothers-Day-Magnet-034-Mums-are-like-buttons/,"Mothers Day Magnet 034 Mum''''s are like buttons",,,,301-redirect.aspx,8/31/2012,1,8/31/2012,8/31/2012,1,0,1,0,1,0,2497,0,0,0,0
3727,0,301Redirect,0,/Mothers-Day-Magnet-090-Because-Im-your-Mother-thats-why/,"Mothers Day Magnet 090 Because I''''m your Mother that''''s why",,,,301-redirect.aspx,8/31/2012,1,8/31/2012,8/31/2012,1,0,1,0,1,0,2500,0,0,0,0
3738,0,301Redirect,0,/lee-test/,"Lee Test",,,,301-redirect.aspx,9/5/2012,1,9/5/2012,9/5/2012,1,0,1,0,1,0,1,0,0,0,0
3746,0,301Redirect,0,/complete-relaxation-cd/,"Complete Relaxation CD.",,,,301-redirect.aspx,9/11/2012,3,9/11/2012,9/11/2012,3,0,1,0,1,0,3745,1,0,0,0
3748,0,301Redirect,0,/creating-inner-peace-calm-cd/,"Creating Inner Peace & Calm CD.",,,,301-redirect.aspx,9/11/2012,3,9/11/2012,9/11/2012,3,0,1,0,1,0,3747,0,0,0,0
3760,0,301Redirect,0,/fragrance-lamp-starter-set/2/,"Fragrance Lamp Starter Set",,,,301-redirect.aspx,9/11/2012,3,9/11/2012,9/11/2012,3,0,1,0,1,0,1,0,0,0,0
3765,0,301Redirect,0,/Woolly-Sheep-Money-Bank-Sitting-With-Beige-Face-Sorry-temp-out-of-stock/,"Woolly Sheep Money Bank Sitting With Beige Face - Sorry temp out of stock",,,,301-redirect.aspx,9/21/2012,2,9/21/2012,9/21/2012,2,0,1,0,1,0,1,0,0,0,0
3794,0,301Redirect,0,/general-remedies/greenleaf-gifts/,"Greenleaf Gifts",,,,301-redirect.aspx,10/11/2012,6,10/11/2012,10/11/2012,6,0,1,0,1,0,1,0,0,0,0
3856,0,301Redirect,0,/Jelly-Belly-Microwavable-Cushion-Very-Cherry/,"Jelly Belly Microwavable Cushion Very Cherry",,,,301-redirect.aspx,10/24/2012,6,10/24/2012,10/24/2012,6,0,1,0,1,0,1,2,0,0,0
3858,0,301Redirect,0,/hairdressers-muscle-rub-60ml/,"Hairdressers Muscle Rub 60ml",,,,301-redirect.aspx,10/24/2012,6,10/24/2012,10/24/2012,6,0,1,0,1,0,1,0,0,0,0
3859,0,301Redirect,0,/midwife-muscle-rub-60ml/,"Midwife Muscle Rub 60ml",,,,301-redirect.aspx,10/24/2012,6,10/24/2012,10/24/2012,6,0,1,0,1,0,1,0,0,0,0
3860,0,301Redirect,0,/mums-muscle-rub-60ml/,"Mums Muscle Rub 60ml",,,,301-redirect.aspx,10/24/2012,6,10/24/2012,10/24/2012,6,0,1,0,1,0,1,0,0,0,0
3861,0,301Redirect,0,/nhs-workers-muscle-rub-60ml/,"NHS Workers Muscle Rub 60ml",,,,301-redirect.aspx,10/24/2012,6,10/24/2012,10/24/2012,6,0,1,0,1,0,1,0,0,0,0
3862,0,301Redirect,0,/nurses-muscle-rub-60ml/,"Nurses Muscle Rub 60ml",,,,301-redirect.aspx,10/24/2012,6,10/24/2012,10/24/2012,6,0,1,0,1,0,1,1,0,0,0
3863,0,301Redirect,0,/teachers-muscle-rub-60ml/,"Teachers Muscle Rub 60ml",,,,301-redirect.aspx,10/24/2012,6,10/24/2012,10/24/2012,6,0,1,0,1,0,1,0,0,0,0
3871,0,301Redirect,0,/Fridge-Magnet-055-If-at-first-you-dont-succeed-try-it-your-wifes-way/,"Fridge Magnet 055 If at first you don''''t succeed try it your wifes way",,,,301-redirect.aspx,10/25/2012,6,10/25/2012,10/25/2012,6,0,1,0,1,0,1967,2,0,0,0
3872,0,301Redirect,0,/Fridge-Magnet-099-I-didnt-say-it-was-your-fault/,"Fridge Magnet 099 I didn''''t say it was your fault",,,,301-redirect.aspx,10/25/2012,6,10/25/2012,10/25/2012,6,0,1,0,1,0,2009,2,0,0,0
3877,0,301Redirect,0,/Fridge-Magnet-014-Some-days-our-frisnedship-is-the-glue-that-holds-me-together/,"Fridge Magnet 014 Some days our frisnedship is the glue that holds me together",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1,1,0,0,0
3896,0,301Redirect,0,/Fridge-Magnet-188-Never-let-your-mans-mind-wander-its-too-little-to-be-out-alone/,"Fridge Magnet 188 Never let your man''''s mind wander - it''''s too little to be out alone",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,2089,0,0,0,0
3900,0,301Redirect,0,/Fridge-Magnet-004-When-I-Married-Mr-Right-I-Didnt-Know-His-First-Name-Was-Always/,"Fridge Magnet 004 When I Married Mr Right I Didn''''t Know His First Name Was Always",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,3157,0,0,0,0
3903,0,301Redirect,0,/Fridge-Magnet-012-Youve-Been-A-Blessing/,"Fridge Magnet 012 You''''ve Been A Blessing",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1927,0,0,0,0
3904,0,301Redirect,0,/Fridge-Magnet-014-You-can-touch-the-dust-but-please-dont-write-in-it/,"Fridge Magnet 014 You can touch the dust, but please don''''t write in it",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1929,1,0,0,0
3906,0,301Redirect,0,/Fridge-Magnet-030-Of-course-I-dont-look-busy-I-did-it-right-the-first-time/,"Fridge Magnet 030 Of course I don''''t look busy I did it right the first time",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1942,108,0,0,0
3908,0,301Redirect,0,/Fridge-Magnet-041-If-your-dog-thinks-your-the-best-dont-seek-a-second-opinion/,"Fridge Magnet 041 If your dog thinks you''''r the best, don''''t seek a second opinion",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1950,32,0,0,0
3909,0,301Redirect,0,/Fridge-Magnet-043-Weve-got-to-stop-eating-like-this/,"Fridge Magnet 043 We''''ve got to stop eating like this",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1954,1,0,0,0
3910,0,301Redirect,0,/Fridge-Magnet-044-Dont-try-to-understand-me-just-love-me/,"Fridge Magnet 044 Don''''t try to understand me, just love me",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1955,11,0,0,0
3911,0,301Redirect,0,/Fridge-Magnet-045-I-dont-do-mornings/,"Fridge Magnet 045 I don''''t do mornings",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1956,12,0,0,0
3912,0,301Redirect,0,/Fridge-Magnet-051-Lifes-too-short-to-drink-bad-wine/,"Fridge Magnet 051 Life''''s too short to drink bad wine",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,3163,0,0,0,0
3913,0,301Redirect,0,/Fridge-Magnet-053-Its-not-easy-being-a-goddess/,"Fridge Magnet 053 It''''s not easy being a goddess",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,3164,0,0,0,0
3914,0,301Redirect,0,/Fridge-Magnet-054-A-mans-got-to-do-what-a-mans-got-to-do/,"Fridge Magnet 054 A man''''s got to do what a man''''s got to do",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,3165,0,0,0,0
3916,0,301Redirect,0,/Fridge-Magnet-063-Born-free-now-Im-expensive/,"Fridge Magnet 063 Born free now I''''m expensive",,,,301-redirect.aspx,10/29/2012,6,10/29/2012,10/29/2012,6,0,1,0,1,0,1975,0,0,0,0
