DerivativeID,ProductID,Title,Title2,TotalStock,ProductImage,SwatchImage,BackInStock,Price,PriceWholesale,Weight,Location,Enabled,Code,DerivRank,DerivGTIN,DerivMPN
2226,1195,500ml Bottle,n/a,0,,,,29.99,14.99,0.75,K,1,AVOIL7/500,1,7.3581E+11
2227,1196,n/a,n/a,0,,,,39.99,20.83,1.1,A3A,1,ARGS3,1,6.15855E+11
2228,1197,100ml Bottle,n/a,0,,,,7.99,3.99,0.38,VS3C,1,AVOIL7/100,1,7.3581E+11
2229,1197,250ml Bottle,n/a,0,,,,17.99,8.99,0.55,L12C,1,AVOIL7/250,1,7.3581E+11
2230,1197,500ml Bottle,n/a,0,,,,29.99,14.99,0.75,K,1,AVOIL7/500,1,7.3581E+11
2232,1198,60ml Glass Jar,n/a,0,,,,7.99,3.99,0.35,VS3C/L3B,1,AVOINT5/60,1,7.3581E+11
2231,1198,120ml Glass Jar,n/a,0,,,,14.99,7.49,0.45,VS3C/L3B,1,AVOINT5/120,1,7.3581E+11
6752,1198,200ml Plastic Jar,,0,,,,19.99,9.99,0.62,L3B,1,AVOINT5/200,1,7.3581E+11
2233,1199,n/a,n/a,0,,,,12.99,6.99,0.07,,1,PS05,1
2234,1200,n/a,n/a,0,large_aura_stones.jpg,,,6.99,3.33,0.2,,1,WB16,1
2235,1201,n/a,n/a,0,large_autumn.jpg,,,14.99,7.49,0.5,,1,NEM3178,1
2236,1202,n/a,n/a,0,,,,5.99,3.49,0.3,B4B,1,AVDOGNL,1,5.05668E+12
2237,1203,n/a,n/a,0,,,,1.39,0.99,0.025,A7C,1,T103,1
2238,1204,n/a,n/a,0,,,,7.99,4.99,0.2,B8CD13,1,HM08,1
2239,1205,n/a,n/a,0,,,,7.99,4.99,0.07,B8CD1,1,PS06,1
2240,1206,100ml Bottle,n/a,0,,,,4.99,2.49,0.3,VS2A,1,AV100,1,7.3581E+11
2242,1206,250ml Bottle,n/a,0,,,,7.99,4.99,0.55,VS1A,1,AV250,1,7.3581E+11
