ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType
44,0,Category,22,/gemstone-hearts/,Gemstone Hearts,,,,category.aspx,4/12/2012,1,4/12/2012,2/19/2024,2,0,1,0,1,1,0,26411,0,0,0
45,0,Category,23,/general-natural-remedies/,General Natural Remedies,A Wide Selection of Natural Remedies,"Natural, Remedies, Ointments, Creams, Natural Massage Oil","All our natural remedies in one place. A wide selection of pure creams, massage oils, bath oils, ointments and many more.",category.aspx,4/12/2012,1,4/12/2012,10/29/2020,2,0,1,0,1,1,0,40556,0,0,0
46,0,Category,24,/gift-ideas/,Gift Ideas,,,,category.aspx,4/12/2012,1,4/12/2012,12/31/2020,2,0,1,0,1,1,0,25150,0,0,0
47,0,Category,25,/gift-sets/,Gift Sets,| Gift Sets For Any Occasion or Gift | Gift Boxes,"Gift Sets, Gift Boxes, Avena","Gift sets for all occasions, gift boxes, gifts with ribbons, Avena gifts",category.aspx,4/12/2012,1,4/12/2012,12/31/2020,2,0,1,0,1,1,0,27345,0,0,0
48,0,Category,26,/glass-bottles-jars/,Glass Bottles & Jars,,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,30369,0,0,0
49,0,Category,27,/healing-gemstones/,Healing Gemstones,,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,23464,0,0,0
50,0,Category,28,/wheat-bags/,Wheat Bags,,,,category.aspx,4/12/2012,1,4/12/2012,10/28/2020,2,0,1,0,1,1,0,18786,0,0,0
51,0,Category,29,/incense-sticks/,Incense Sticks,,,,category.aspx,4/12/2012,1,4/12/2012,11/4/2020,2,0,1,0,1,1,0,28722,0,0,0
54,0,Category,32,/massage/,Massage,,,,category.aspx,4/12/2012,1,4/12/2012,10/28/2020,2,0,1,0,1,1,0,25720,0,0,0
56,0,Category,34,/mothers-day-gifts-for-her/,Mothers Day / Gifts For Her,| A Selection of Gift Ideas Ideal For Mothers Day,"Mothers Day, Gifts, Mum, Mothering Sunday",A range of gift ideas ideal for Mothers Day.,category.aspx,4/12/2012,1,4/12/2012,2/19/2024,2,0,0,0,1,1,0,23758,0,0,0
