ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType,paraent_catagory_content_id
57,0,Category,35,/satya-quality-incense-products/,"Satya Quality Incense Products",,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,21478,0,0,0,
58,0,Category,36,/natural-jewellery/,"Natural Jewellery",,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,23436,0,0,0,
60,0,Category,38,/oil-burners/,"Oil Burners",,,,category.aspx,4/12/2012,1,4/12/2012,3/28/2022,2,0,1,0,1,1,0,32748,0,0,0,
61,0,Category,39,/palmstones/,Palmstones,,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,20470,0,0,0,
62,0,Category,40,/plastic-jars-bottles/,"Plastic Jars & Bottles",,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,22749,0,0,0,
63,0,Category,41,/sensual/,Sensual,,,,category.aspx,4/12/2012,1,4/12/2012,1/26/2015,6,0,1,0,1,1,0,21114,0,0,0,
65,0,Category,43,/skin-complaints/,"Skin Complaints",,,,category.aspx,4/12/2012,1,4/12/2012,10/29/2020,2,0,1,0,1,1,0,23612,0,0,0,
66,0,Category,44,/soaps/,Soaps,,,,category.aspx,4/12/2012,1,4/12/2012,10/28/2020,2,0,1,0,1,1,0,29696,0,0,0,
67,0,Category,45,/sports-products/,"Sports Products",,,,category.aspx,4/12/2012,1,4/12/2012,10/29/2020,2,0,1,0,1,1,0,23354,0,0,0,
68,0,Category,46,/summer-products/,"Summer Products",,,,category.aspx,4/12/2012,1,4/12/2012,10/19/2023,2,0,1,0,1,1,0,29315,0,0,0,
69,0,Category,47,/assorted-stoneware-gifts/,"Assorted Stoneware Gifts",,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,28664,0,0,0,
70,0,Category,48,/teacher-gifts/,"Teacher Gifts",,,,category.aspx,4/12/2012,1,4/12/2012,10/28/2020,2,0,1,0,1,1,0,16662,0,0,0,
71,0,Category,49,/valentines-gifts/,"Valentines Gifts",,,,category.aspx,4/12/2012,1,4/12/2012,2/14/2023,2,0,1,0,1,1,0,20219,0,0,0,
73,0,Category,51,/winter-warmers/,"Winter Warmers",,,,category.aspx,4/12/2012,1,4/12/2012,2/19/2024,2,0,1,0,1,1,0,19276,0,0,0,
86,0,Category,56,/fairies-and-angels/,"Fairies And Angels","| Selection Of Angel And Fairy Gift Ideas","Angels, Fairy, Fairies, Gifts","A selection of angel and fairy gifts including figurines, crystals, gift cards, dreamcatchers, incense and much more.",category.aspx,7/11/2012,1,7/11/2012,10/23/2020,2,0,1,0,1,1,0,38532,0,0,0,
