"entity_id","attribute_set_id","type_id","sku","has_options","required_options","created_at","updated_at"
"37077","4","configurable","1201","0","0","2024-04-30 19:49:31","2024-05-02 20:46:41"
"37078","4","configurable","1202","0","0","2024-04-30 19:49:32","2024-05-02 20:46:42"
"37079","4","configurable","1203","0","0","2024-04-30 19:49:34","2024-05-02 20:46:42"
"37080","4","configurable","1204","0","0","2024-04-30 19:49:35","2024-05-02 20:46:43"
"37081","4","configurable","1205","0","0","2024-04-30 19:49:37","2024-05-02 20:46:44"
"37082","4","simple","1206-2240","0","0","2024-04-30 19:49:38","2024-05-02 17:02:39"
"37083","4","simple","1206-2242","0","0","2024-04-30 19:49:39","2024-05-02 17:02:41"
"37084","4","simple","1206-2243","0","0","2024-04-30 19:49:41","2024-05-02 17:02:43"
"37085","4","simple","1206-2241","0","0","2024-04-30 19:49:42","2024-05-02 17:02:44"
"37086","4","simple","1206-2244","0","0","2024-04-30 19:49:44","2024-05-02 17:02:46"
"37087","4","configurable","1208","0","0","2024-04-30 19:49:45","2024-05-02 20:46:47"
"37088","4","simple","1211-2251","0","0","2024-04-30 19:49:47","2024-05-02 17:02:49"
"37089","4","simple","1211-2252","0","0","2024-04-30 19:49:48","2024-05-02 17:02:51"
"37090","4","simple","1211-2250","0","0","2024-04-30 19:49:49","2024-05-02 17:02:52"
"37091","4","simple","1214-2256","0","0","2024-04-30 19:49:51","2024-05-02 17:02:54"
"37092","4","simple","1214-2260","0","0","2024-04-30 19:49:52","2024-05-02 17:02:55"
"37093","4","simple","1218-2264","0","0","2024-04-30 19:49:54","2024-05-02 17:02:57"
"37094","4","simple","1218-2265","0","0","2024-04-30 19:49:55","2024-05-02 17:02:58"
"37095","4","simple","1218-2266","0","0","2024-04-30 19:49:57","2024-05-02 17:03:00"
"37096","4","simple","1219-2268","0","0","2024-04-30 19:49:58","2024-05-02 17:03:01"
"37097","4","simple","1219-2269","0","0","2024-04-30 19:50:00","2024-05-02 17:03:03"
"37098","4","simple","1219-2267","0","0","2024-04-30 19:50:01","2024-05-02 17:03:05"
"37099","4","simple","1223-2274","0","0","2024-04-30 19:50:04","2024-05-02 17:03:06"
"37100","4","simple","1223-2276","0","0","2024-04-30 19:50:05","2024-05-02 17:03:08"
"37101","4","simple","1223-2275","0","0","2024-04-30 19:50:07","2024-05-02 17:03:09"
"37102","4","simple","1224-2279","0","0","2024-04-30 19:50:08","2024-05-02 17:03:11"
"37103","4","simple","1224-2280","0","0","2024-04-30 19:50:10","2024-05-02 17:03:12"
"37104","4","simple","1224-2278","0","0","2024-04-30 19:50:11","2024-05-02 17:03:13"
"37105","4","simple","1225-2283","0","0","2024-04-30 19:50:13","2024-05-02 17:03:15"
"37106","4","simple","1225-2284","0","0","2024-04-30 19:50:14","2024-05-02 17:03:16"
"37107","4","simple","1225-2282","0","0","2024-04-30 19:50:16","2024-05-02 17:03:18"
"37108","4","configurable","1226","0","0","2024-04-30 19:50:17","2024-05-02 20:46:58"
"37109","4","configurable","1227","0","0","2024-04-30 19:50:18","2024-05-02 20:46:58"
"37110","4","simple","1228-2288","0","0","2024-04-30 19:50:20","2024-05-02 17:03:23"
"37111","4","simple","1229-11441","0","0","2024-04-30 19:50:21","2024-05-02 17:03:25"
"37112","4","simple","1229-2291","0","0","2024-04-30 19:50:22","2024-05-02 17:03:26"
"37113","4","simple","1229-2293","0","0","2024-04-30 19:50:24","2024-05-02 17:03:28"
"37114","4","simple","1229-2294","0","0","2024-04-30 19:50:25","2024-05-02 17:03:30"
"37115","4","simple","1229-2292","0","0","2024-04-30 19:50:27","2024-05-02 17:03:31"
"37116","4","simple","1229-9611","0","0","2024-04-30 19:50:29","2024-05-02 17:03:33"
"37117","4","configurable","1230","0","0","2024-04-30 19:50:30","2024-05-02 20:47:02"
"37118","4","simple","1231-2297","0","0","2024-04-30 19:50:32","2024-05-02 17:03:37"
"37119","4","simple","1231-2298","0","0","2024-04-30 19:50:33","2024-05-02 17:03:38"
"37120","4","simple","1231-2296","0","0","2024-04-30 19:50:34","2024-05-02 17:03:40"
"37121","4","simple","1232-2300","0","0","2024-04-30 19:50:36","2024-05-02 17:03:41"
"37122","4","simple","1232-2301","0","0","2024-04-30 19:50:37","2024-05-02 17:03:43"
"37123","4","simple","1232-2299","0","0","2024-04-30 19:50:39","2024-05-02 17:03:44"
"37124","4","simple","1234-2307","0","0","2024-04-30 19:50:40","2024-05-02 17:03:45"
"37125","4","simple","1234-2308","0","0","2024-04-30 19:50:42","2024-05-02 17:03:47"
"37126","4","simple","1234-10412","0","0","2024-04-30 19:50:43","2024-05-02 17:03:48"
"37127","4","simple","1235-2310","0","0","2024-04-30 19:50:45","2024-05-02 17:03:50"
"37128","4","configurable","1236","0","0","2024-04-30 19:50:46","2024-05-02 20:47:09"
"37129","4","configurable","1237","0","0","2024-04-30 19:50:47","2024-05-02 20:47:10"
"37130","4","configurable","1238","0","0","2024-04-30 19:50:48","2024-05-02 20:47:11"
"37131","4","configurable","1239","0","0","2024-04-30 19:50:50","2024-05-02 20:47:11"
"37132","4","configurable","1240","0","0","2024-04-30 19:50:51","2024-05-02 20:47:12"
"37133","4","configurable","1241","0","0","2024-04-30 19:50:52","2024-05-02 20:47:13"
"37134","4","configurable","1242","0","0","2024-04-30 19:50:53","2024-05-02 20:47:14"
"37135","4","configurable","1243","0","0","2024-04-30 19:50:55","2024-05-02 20:47:15"
"37136","4","simple","1244-2320","0","0","2024-04-30 19:50:56","2024-05-02 17:04:07"
"37137","4","simple","1244-2321","0","0","2024-04-30 19:50:57","2024-05-02 17:04:08"
"37138","4","simple","1244-2319","0","0","2024-04-30 19:50:58","2024-05-02 17:04:10"
"37139","4","configurable","1245","0","0","2024-04-30 19:51:00","2024-05-02 20:47:17"
"37140","4","configurable","1246","0","0","2024-04-30 19:51:01","2024-05-02 20:47:17"
"37141","4","simple","1249-2330","0","0","2024-04-30 19:51:03","2024-05-02 17:04:15"
"37142","4","simple","1249-17152","0","0","2024-04-30 19:51:04","2024-05-02 17:04:16"
"37143","4","configurable","1250","0","0","2024-04-30 19:51:06","2024-05-02 20:47:20"
"37144","4","simple","1251-2335","0","0","2024-04-30 19:51:07","2024-05-02 17:04:20"
"37145","4","simple","1251-2332","0","0","2024-04-30 19:51:08","2024-05-02 17:04:22"
"37146","4","simple","1251-2333","0","0","2024-04-30 19:51:10","2024-05-02 17:04:23"
"37147","4","simple","1251-2334","0","0","2024-04-30 19:51:12","2024-05-02 17:04:25"
"37148","4","simple","1251-9612","0","0","2024-04-30 19:51:13","2024-05-02 17:04:27"
"37149","4","simple","1251-9613","0","0","2024-04-30 19:51:15","2024-05-02 17:04:28"
"37150","4","simple","1253-2338","0","0","2024-04-30 19:51:16","2024-05-02 17:04:30"
"37151","4","simple","1253-2337","0","0","2024-04-30 19:51:18","2024-05-02 17:04:31"
"37152","4","configurable","1256","0","0","2024-04-30 19:51:19","2024-05-02 20:47:24"
"37153","4","simple","1257-2342","0","0","2024-04-30 19:51:21","2024-05-02 17:04:35"
"37154","4","simple","1257-5530","0","0","2024-04-30 19:51:22","2024-05-02 17:04:36"
"37155","4","configurable","1260","0","0","2024-04-30 19:51:23","2024-05-02 20:47:26"
"37156","4","simple","1262-2347","0","0","2024-04-30 19:51:25","2024-05-02 17:04:39"
"37157","4","simple","1262-2348","0","0","2024-04-30 19:51:26","2024-05-02 17:04:41"
"37158","4","simple","1262-2349","0","0","2024-04-30 19:51:27","2024-05-02 17:04:42"
"37159","4","simple","1263-2353","0","0","2024-04-30 19:51:29","2024-05-02 17:04:44"
"37160","4","simple","1263-2359","0","0","2024-04-30 19:51:30","2024-05-02 17:04:45"
"37161","4","simple","1263-2362","0","0","2024-04-30 19:51:32","2024-05-02 17:04:47"
"37162","4","simple","1263-2363","0","0","2024-04-30 19:51:33","2024-05-02 17:04:48"
"37163","4","simple","1263-2364","0","0","2024-04-30 19:51:35","2024-05-02 17:04:50"
"37164","4","simple","1263-11583","0","0","2024-04-30 19:51:37","2024-05-02 17:04:51"
"37165","4","simple","1263-2379","0","0","2024-04-30 19:51:38","2024-05-02 17:04:53"
"37166","4","simple","1263-17303","0","0","2024-04-30 19:51:40","2024-05-02 17:04:54"
"37167","4","simple","1263-17436","0","0","2024-04-30 19:51:42","2024-05-02 17:04:56"
"37168","4","simple","1263-2381","0","0","2024-04-30 19:51:43","2024-05-02 17:04:57"
"37169","4","simple","1263-2383","0","0","2024-04-30 19:51:45","2024-05-02 17:04:59"
"37170","4","simple","1263-2384","0","0","2024-04-30 19:51:46","2024-05-02 17:05:00"
"37171","4","simple","1263-2387","0","0","2024-04-30 19:51:48","2024-05-02 17:05:02"
"37172","4","simple","1263-18523","0","0","2024-04-30 19:51:50","2024-05-02 17:05:04"
"37173","4","simple","1263-18525","0","0","2024-04-30 19:51:51","2024-05-02 17:05:06"
"37174","4","simple","1263-18524","0","0","2024-04-30 19:51:53","2024-05-02 17:05:07"
"37175","4","simple","1263-2351","0","0","2024-04-30 19:51:54","2024-05-02 17:05:09"
"37176","4","simple","1263-2352","0","0","2024-04-30 19:51:56","2024-05-02 17:05:10"
"37177","4","simple","1263-11580","0","0","2024-04-30 19:51:58","2024-05-02 17:05:12"
"37178","4","simple","1263-2354","0","0","2024-04-30 19:51:59","2024-05-02 17:05:13"
"37179","4","simple","1263-2355","0","0","2024-04-30 19:52:01","2024-05-02 17:05:15"
"37180","4","simple","1263-2356","0","0","2024-04-30 19:52:03","2024-05-02 17:05:16"
"37181","4","simple","1263-2357","0","0","2024-04-30 19:52:05","2024-05-02 17:05:18"
"37182","4","simple","1263-2358","0","0","2024-04-30 19:52:06","2024-05-02 17:05:19"
"37183","4","simple","1263-2386","0","0","2024-04-30 19:52:08","2024-05-02 17:05:21"
"37184","4","simple","1263-5844","0","0","2024-04-30 19:52:09","2024-05-02 17:05:22"
"37185","4","simple","1263-2360","0","0","2024-04-30 19:52:11","2024-05-02 17:05:24"
"37186","4","simple","1263-2361","0","0","2024-04-30 19:52:13","2024-05-02 17:05:25"
"37187","4","simple","1263-11581","0","0","2024-04-30 19:52:14","2024-05-02 17:05:27"
"37188","4","simple","1263-2365","0","0","2024-04-30 19:52:16","2024-05-02 17:05:28"
"37189","4","simple","1263-2366","0","0","2024-04-30 19:52:17","2024-05-02 17:05:30"
"37190","4","simple","1263-2367","0","0","2024-04-30 19:52:19","2024-05-02 17:05:31"
"37191","4","simple","1263-2368","0","0","2024-04-30 19:52:20","2024-05-02 17:05:33"
"37192","4","simple","1263-11582","0","0","2024-04-30 19:52:22","2024-05-02 17:05:34"
"37193","4","simple","1263-17302","0","0","2024-04-30 19:52:24","2024-05-02 17:05:36"
"37194","4","simple","1263-18526","0","0","2024-04-30 19:52:25","2024-05-02 17:05:37"
"37195","4","simple","1263-18527","0","0","2024-04-30 19:52:27","2024-05-02 17:05:39"
"37196","4","simple","1263-2369","0","0","2024-04-30 19:52:28","2024-05-02 17:05:40"
"37197","4","simple","1263-2370","0","0","2024-04-30 19:52:30","2024-05-02 17:05:42"
"37198","4","simple","1263-2371","0","0","2024-04-30 19:52:32","2024-05-02 17:05:43"
"37199","4","simple","1263-2372","0","0","2024-04-30 19:52:33","2024-05-02 17:05:45"
"37200","4","simple","1263-2373","0","0","2024-04-30 19:52:35","2024-05-02 17:05:46"
"37201","4","simple","1263-2374","0","0","2024-04-30 19:52:36","2024-05-02 17:05:48"
"37202","4","simple","1263-2375","0","0","2024-04-30 19:52:38","2024-05-02 17:05:49"
"37203","4","simple","1263-2376","0","0","2024-04-30 19:52:40","2024-05-02 17:05:51"
"37204","4","simple","1263-2377","0","0","2024-04-30 19:52:41","2024-05-02 17:05:52"
"37205","4","simple","1263-2378","0","0","2024-04-30 19:52:43","2024-05-02 17:05:54"
"37206","4","simple","1263-2380","0","0","2024-04-30 19:52:45","2024-05-02 17:05:55"
"37207","4","simple","1263-2382","0","0","2024-04-30 19:52:46","2024-05-02 17:05:57"
"37208","4","simple","1263-17434","0","0","2024-04-30 19:52:48","2024-05-02 17:05:58"
"37209","4","simple","1263-18528","0","0","2024-04-30 19:52:49","2024-05-02 17:06:00"
"37210","4","simple","1263-2385","0","0","2024-04-30 19:52:51","2024-05-02 17:06:01"
"37211","4","simple","1263-2388","0","0","2024-04-30 19:52:53","2024-05-02 17:06:03"
